"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1048,0.239,0.148,0.231,0.65323902308966,0.32944709280531,0.37894332191366,0.529,0.379,0.488,0.385,0.438,0.345,0.177,0.928,0.336,0.389,,
1050,0.234,0.142,0.228,0.63986391113723,0.31982664591554,0.36551739857428,0.520,0.377,0.477,0.373,0.442,0.335,0.174,0.931,0.329,0.380,,
1052,0.226,0.133,0.221,0.62650652741358,0.30866562608811,0.35268178287934,0.511,0.374,0.466,0.364,0.442,0.323,0.169,0.927,0.319,0.375,,
1054,0.220,0.129,0.215,0.60698553319160,0.29702393377944,0.33904847247564,0.497,0.370,0.457,0.358,0.442,0.311,0.167,0.910,0.310,0.377,,
1056,0.216,0.124,0.211,0.58759308409773,0.28745394948362,0.32611072338171,0.485,0.362,0.440,0.350,0.440,0.300,0.166,0.893,0.301,0.367,,
1058,0.214,0.117,0.210,0.56711974398500,0.28278580801558,0.31307575138559,0.480,0.360,0.429,0.344,0.440,0.296,0.164,0.895,0.291,0.359,,
1060,0.211,0.114,0.205,0.54576240527769,0.27882500000069,0.30054399539851,0.471,0.357,0.418,0.338,0.438,0.292,0.160,0.904,0.284,0.360,,
1062,0.211,0.114,0.206,0.53076335738085,0.27699220030426,0.29149789434061,0.473,0.355,0.411,0.332,0.432,0.286,0.159,0.888,0.276,0.361,,
1064,0.212,0.113,0.205,0.51944578480716,0.27655001951321,0.28420352949230,0.474,0.359,0.407,0.331,0.433,0.287,0.156,0.882,0.276,0.363,,
1066,0.215,0.114,0.204,0.50758936226115,0.27465550818706,0.27583735981218,0.485,0.365,0.407,0.329,0.431,0.289,0.155,0.922,0.281,0.364,,
1068,0.218,0.116,0.204,0.49770062120758,0.28060547068672,0.27346836302755,0.498,0.370,0.410,0.325,0.423,0.290,0.154,0.932,0.282,0.365,,
1070,0.220,0.115,0.205,0.48490123791609,0.28323026181443,0.26973138779274,0.503,0.376,0.410,0.319,0.416,0.287,0.152,0.919,0.281,0.370,,
1072,0.222,0.117,0.206,0.47390273894320,0.28421197106976,0.26257906703217,0.508,0.377,0.405,0.309,0.412,0.284,0.152,0.918,0.279,0.369,,
1074,0.225,0.121,0.203,0.46589499345679,0.28545707669817,0.25781204361425,0.511,0.381,0.401,0.296,0.410,0.280,0.148,0.923,0.282,0.371,,
1076,0.225,0.121,0.203,0.45714602043635,0.28315100207222,0.25386459665278,0.515,0.393,0.399,0.288,0.412,0.277,0.148,0.919,0.283,0.372,,
1078,0.224,0.122,0.203,0.44852772021773,0.28121653418714,0.24822214947830,0.513,0.397,0.396,0.274,0.408,0.272,0.147,0.905,0.276,0.366,,
1080,0.219,0.122,0.201,0.44270486671453,0.27701862642198,0.24143252149911,0.502,0.403,0.392,0.261,0.401,0.270,0.145,0.895,0.271,0.357,,
1082,0.215,0.120,0.199,0.43708634764985,0.27071552701531,0.23869940961090,0.485,0.404,0.381,0.250,0.396,0.264,0.142,0.878,0.265,0.353,,
1084,0.208,0.119,0.194,0.43216976772819,0.26254828941040,0.23470232032814,0.467,0.396,0.367,0.240,0.393,0.259,0.139,0.866,0.262,0.351,,
1086,0.202,0.116,0.190,0.42993399790764,0.25624522013936,0.22926194182948,0.455,0.387,0.359,0.234,0.392,0.254,0.136,0.844,0.257,0.347,,
1088,0.196,0.113,0.189,0.43107214083931,0.25100358261791,0.22332487372304,0.442,0.372,0.353,0.225,0.387,0.249,0.132,0.821,0.252,0.340,,
1090,0.190,0.112,0.190,0.43428331740400,0.24773345228598,0.21962850826949,0.428,0.357,0.345,0.216,0.382,0.245,0.130,0.800,0.249,0.339,,
1092,0.187,0.110,0.189,0.43496744846174,0.24436088537004,0.21698177942978,0.419,0.348,0.336,0.213,0.381,0.244,0.131,0.769,0.249,0.346,,
1094,0.185,0.109,0.187,0.43374227792372,0.24001332147397,0.21367043746700,0.410,0.337,0.328,0.206,0.375,0.241,0.128,0.741,0.245,0.349,,
1096,0.180,0.107,0.186,0.43060917185963,0.23565326155776,0.20858720364002,0.401,0.332,0.324,0.202,0.371,0.233,0.126,0.719,0.238,0.345,,
1098,0.174,0.105,0.185,0.42580544626881,0.23029009647153,0.20505664764187,0.396,0.333,0.322,0.198,0.365,0.229,0.124,0.699,0.231,0.335,,
1100,0.172,0.104,0.184,0.42451348341073,0.22676392227874,0.20309419985487,0.394,0.333,0.322,0.190,0.358,0.226,0.119,0.681,0.227,0.330,,
1102,0.170,0.104,0.182,0.42055057669947,0.22747975783618,0.20400708472670,0.386,0.333,0.320,0.188,0.353,0.224,0.116,0.674,0.225,0.333,,
1104,0.169,0.106,0.184,0.41156831052689,0.22408073244771,0.20199386862866,0.374,0.328,0.315,0.188,0.347,0.222,0.116,0.668,0.224,0.333,,
1106,0.166,0.106,0.187,0.40522127860922,0.22176533449018,0.19813735043004,0.365,0.323,0.312,0.188,0.343,0.220,0.118,0.663,0.225,0.336,,
1108,0.162,0.105,0.187,0.39248426415535,0.21873543639944,0.19578164399194,0.362,0.320,0.311,0.186,0.341,0.216,0.117,0.658,0.225,0.332,,
1110,0.158,0.101,0.186,0.38117891891991,0.21656986098703,0.19324273578404,0.354,0.316,0.311,0.184,0.338,0.211,0.114,0.652,0.222,0.330,,
1112,0.157,0.101,0.185,0.37605755697062,0.21689106515302,0.19095295930414,0.349,0.314,0.309,0.182,0.331,0.208,0.114,0.642,0.216,0.324,,
1114,0.154,0.099,0.186,0.37107827652325,0.21498561820158,0.19105707166832,0.346,0.311,0.304,0.179,0.327,0.203,0.113,0.631,0.213,0.319,,
1116,0.154,0.098,0.186,0.36898821661311,0.21169876819680,0.18937386175255,0.338,0.308,0.298,0.174,0.320,0.199,0.110,0.611,0.214,0.315,,
1118,0.151,0.099,0.185,0.36509848179569,0.21029587514007,0.18783807049386,0.330,0.305,0.291,0.172,0.317,0.196,0.108,0.601,0.213,0.311,,
1120,0.149,0.096,0.187,0.35961773076045,0.20880423536932,0.18799698080898,0.322,0.303,0.283,0.169,0.317,0.193,0.109,0.579,0.207,0.301,,
1122,0.151,0.095,0.186,0.35365322597674,0.20671188074705,0.18882503826067,0.318,0.305,0.279,0.168,0.315,0.186,0.111,0.551,0.206,0.302,,
1124,0.150,0.097,0.188,0.34983663988169,0.20447711063863,0.18923398892515,0.312,0.306,0.272,0.165,0.312,0.185,0.110,0.529,0.206,0.307,,
1126,0.151,0.101,0.195,0.34508884185138,0.20175474719488,0.19018486449285,0.307,0.307,0.265,0.165,0.311,0.185,0.109,0.518,0.208,0.313,,
