"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1083,0.20939482524670,0.21131658630409,0.16246216506509,0.47820338163531,0.45651907126829,0.38731629096929,0.58654134337218,0.54508424343950,0.47830806218929,0.34846372544897,0.37579406863137,0.09675039123818,0.30472814624377,0.25932571326464,0.13641023694746,0.340,,
1085,0.20413262366764,0.18195466220401,0.16928114411918,0.45392403947716,0.45621751555545,0.37336129881276,0.59082359387890,0.53091692123352,0.46400056985226,0.32311161740825,0.40960612380667,0.09403039243228,0.28279095868096,0.25150908267442,0.13580472413818,0.339,,
1087,0.20179294737092,0.20269829160131,0.17488486548639,0.43754240117028,0.44751896530834,0.36146859513073,0.59382067870870,0.51556742399950,0.45166372563093,0.31598824551479,0.42182639240702,0.08979388972554,0.27766733686816,0.24191619714999,0.13212960223837,0.346,,
1089,0.20050039965385,0.18220714897249,0.17120639539843,0.41740773063737,0.43756969521042,0.34851772773491,0.59417761228389,0.49744547895595,0.44305405513489,0.30070246581879,0.41666008860139,0.08671395897422,0.26473016816529,0.23333754015258,0.12939103958796,0.349,,
1091,0.19884503626561,0.17307657536418,0.16642756016110,0.40323164785390,0.43931526227280,0.33531788224409,0.59449280571706,0.48452260675845,0.43573001771917,0.28186177014814,0.41281892053376,0.08581593405257,0.24958566398346,0.22608661046968,0.13149456177713,0.345,,
1093,0.19841879247459,0.16806347011219,0.15846062212656,0.39772091023243,0.42518411715748,0.32893652778437,0.58713576676729,0.47152179136294,0.42640831437664,0.26336231551699,0.40452778106736,0.08259850696369,0.23408960191475,0.22036508326983,0.13228642599101,0.335,,
1095,0.19557535013141,0.16417426054308,0.15417490673884,0.38944740053886,0.42677751451804,0.32661595856343,0.58107865888277,0.45654518009098,0.41800626637961,0.25236785134630,0.39241496150270,0.08122263066866,0.22649831976385,0.21569226038343,0.13079769502608,0.330,,
1097,0.19411326584041,0.17451838168376,0.15376954314925,0.38127533431133,0.42100534625311,0.32160145973074,0.57500242076027,0.44326388148669,0.40952860675300,0.24064512494218,0.37553795035953,0.08114120913416,0.21617726226357,0.20726669674107,0.13123763375397,0.333,,
1099,0.19325229839922,0.19071259938821,0.15450191959631,0.38177630893609,0.40585698541607,0.32374628229304,0.56619666998548,0.43400396021204,0.40454539132970,0.22945652246813,0.36340960792227,0.08107525486131,0.20818609370369,0.20310400167851,0.13085371736847,0.333,,
1101,0.19238874677462,0.19060164333936,0.15542509490520,0.38224159467286,0.40931940264496,0.32859489991166,0.55971857780052,0.42495349534505,0.39889588493127,0.22677898218883,0.35883781285256,0.08115269439545,0.20952035936032,0.20096216057755,0.13001004468985,0.336,,
1103,0.19215156325623,0.17928666293284,0.15330805567793,0.38136791299957,0.39669815716157,0.33152790699638,0.55561704728159,0.41551576050941,0.39467516431426,0.21945653184677,0.34526695100712,0.08190957658910,0.20411876878053,0.19692405191489,0.12960759240006,0.332,,
1105,0.19202877143235,0.18630077388588,0.15281160471096,0.38029638064066,0.38214928389861,0.33585965864967,0.55118195232937,0.41091880540673,0.39058374321348,0.21044054033914,0.33563814961768,0.08269550225872,0.19862024448474,0.19357400217849,0.13064553911750,0.330,,
1107,0.19260347318720,0.18861436673308,0.15014904422308,0.38356807143797,0.39016554262997,0.34198931733236,0.54602147325581,0.40647824492622,0.38615809797709,0.20329951558627,0.32895759570389,0.08319105812536,0.19574486647918,0.19219244182609,0.13120175023717,0.324,,
1109,0.19084130903046,0.18267850366269,0.14425751533620,0.38630220924039,0.38352869587414,0.34747973298338,0.54518914079503,0.40155863169173,0.38085006004890,0.19827625051346,0.32119594706107,0.08333309186875,0.19225059659847,0.19287595547696,0.13143645474863,0.319,,
1111,0.18805331785898,0.19533607282499,0.13810819650264,0.38418828932593,0.38520872852637,0.34796680473321,0.54361302876087,0.39649393412174,0.37629285068015,0.19369540928467,0.31091860933806,0.08425083821621,0.18992831284740,0.19065743881421,0.13149233214808,0.315,,
1113,0.18652200681909,0.20463597110379,0.13263203783201,0.38055102712217,0.37660369392566,0.34904795171996,0.53830031101015,0.38834183552506,0.36858577926440,0.18913546381915,0.29895796660665,0.08493173963331,0.18716709088618,0.18823377509545,0.13061092580700,0.311,,
1115,0.18415885496760,0.20878132158812,0.12702726769987,0.37566741063692,0.36395339951291,0.34851681431767,0.53503853084955,0.37994030716919,0.36000140957656,0.18539166022033,0.28606570576404,0.08392766575368,0.18307044959283,0.18957415206636,0.12868435080215,0.301,,
1117,0.18207174535006,0.20514095664145,0.12087333632013,0.36838496850880,0.36574458547369,0.34789947505540,0.53303884138409,0.36877122784889,0.35124646552056,0.18224623636977,0.27259495740060,0.08432934550855,0.18117744846803,0.18807009466408,0.12880483637313,0.302,,
1119,0.17934107052246,0.20743808500994,0.11518343469568,0.36004304186227,0.34807510688228,0.34586533583094,0.52660290219747,0.35752491935377,0.34081855150813,0.17587532327927,0.26011214403960,0.08512881524141,0.17558951218399,0.18592284085558,0.12732718926784,0.307,,
1121,0.17701521994972,0.20794787435219,0.11140022388487,0.34953072663634,0.34334447905577,0.34336087495767,0.51835499685418,0.34689071169103,0.33090708971003,0.16912010413849,0.24930350494334,0.08570029868552,0.17072979520604,0.18516114389126,0.12659337475345,0.313,,
