# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1753
# Number error,41.868843
# Number concentration,2.3874873e+09,#/L
# Mass concentration,0.21450778,μg/L
#
# Background,8.3228073,counts
#,10.275436,nm
# Background error,3.9424829,counts
# Ionic background,3.4505835,μg/L
#
# Mean,Cu,
#,147.57323,counts
#,8.984667e-11,μg
#,25.133981,nm
#,8.014323e-16,m³
# Median,Cu,
#,101.84182,counts
#,6.2004121e-11,μg
#,23.6784,nm
#,5.5307676e-16,m³
# Limits of detection,Cu,
#,19.141668,counts
#,1.1653978e-11,μg
#,13.563452,nm
#,1.0395348e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
2.2557,47.850075,2.9132451e-11,18.407911,2.5986146e-16,1,1,1
2.28125,118.84184,7.2354206e-11,24.928727,6.4539952e-16,1,1,1
2.33145,540.27728,3.2893578e-10,41.29675,2.9341071e-15,1,1,1
2.36085,153.27528,9.3318239e-11,27.135283,8.3239869e-16,1,1,1
2.43695,197.99217,1.2054312e-10,29.552415,1.0752446e-15,1,1,1
2.4564,146.41693,8.9142684e-11,26.724366,7.9515274e-16,1,1,1
2.46635,53.708412,3.2699169e-11,19.130416,2.9167659e-16,1,1,1
2.49785,410.54245,2.4994962e-10,37.684521,2.2295506e-15,1,1,1
2.5045,116.85021,7.1141646e-11,24.788684,6.3458349e-16,1,1,1
2.52345,510.54312,3.108328e-10,40.524822,2.7726285e-15,1,1,1
2.5684,66.133438,4.0263869e-11,20.504571,3.5915371e-16,1,1,1
2.5833,466.70178,2.8414097e-10,39.329956,2.5345375e-15,1,1,1
2.6738,57.13343,3.4784415e-11,19.528718,3.1027698e-16,1,1,1
2.691,47.416756,2.8868635e-11,18.352177,2.5750822e-16,1,1,1
2.78145,89.991806,5.4789505e-11,22.721899,4.8872238e-16,1,1,1
2.8028,64.850098,3.9482536e-11,20.371071,3.5218422e-16,1,1,1
2.81675,32.708397,1.9913778e-11,16.215489,1.776309e-16,1,1,1
2.8395,67.133438,4.0872697e-11,20.607403,3.6458446e-16,1,1,1
2.8411,132.85028,8.0882931e-11,25.872067,7.2147575e-16,1,1,1
2.8668,143.26691,8.7224862e-11,26.531325,7.7804577e-16,1,1,1
2.91465,78.558464,4.7828569e-11,21.71574,4.2663084e-16,1,1,1
2.9202,101.1335,6.1572876e-11,23.623377,5.4923005e-16,1,1,1
2.93395,314.84247,1.9168482e-10,34.49383,1.7098286e-15,1,1,1
2.99445,201.12537,1.2245069e-10,29.707488,1.0922602e-15,1,1,1
3.00245,114.99187,7.0010234e-11,24.656571,6.2449129e-16,1,1,1
3.0304,70.133446,4.2699185e-11,20.909904,3.8087673e-16,1,1,1
3.0553,197.55037,1.2027414e-10,29.530418,1.0728453e-15,1,1,1
3.05765,106.99185,6.5139604e-11,24.070986,5.8104526e-16,1,1,1
3.1021,71.850113,4.3744339e-11,21.079135,3.9019951e-16,1,1,1
3.13555,113.27518,6.8965071e-11,24.533259,6.1516843e-16,1,1,1
3.1498,435.13486,2.6492216e-10,38.422439,2.3631056e-15,1,1,1
3.1518,99.850174,6.0791552e-11,23.523029,5.4226065e-16,1,1,1
3.2496,131.13358,7.9837754e-11,25.760143,7.1215276e-16,1,1,1
3.25165,190.842,1.1618989e-10,29.192299,1.0364139e-15,1,1,1
3.32005,201.55885,1.2271461e-10,29.728815,1.0946144e-15,1,1,1
3.3284,75.850121,4.6179655e-11,21.463262,4.1192252e-16,1,1,1
3.38385,146.99196,8.9492777e-11,26.759305,7.9827557e-16,1,1,1
3.4603,101.70017,6.1917883e-11,23.667418,5.5230751e-16,1,1,1
3.5044,95.850159,5.8356232e-11,23.204627,5.2053759e-16,1,1,1
3.51875,70.991776,4.322176e-11,20.99486,3.855381e-16,1,1,1
3.54745,92.275139,5.6179661e-11,22.912468,5.0112258e-16,1,1,1
3.56045,84.275124,5.130903e-11,22.230204,4.5767655e-16,1,1,1
3.57485,123.84187,7.5398363e-11,25.273544,6.725534e-16,1,1,1
3.6181,151.70026,9.2359319e-11,27.042017,8.2384512e-16,1,1,1
3.62585,124.84187,7.6007186e-11,25.341388,6.779841e-16,1,1,1
3.6734,1078.3195,6.5651076e-10,51.994746,5.856076e-15,1,1,1
3.69455,360.84253,2.1969093e-10,36.097979,1.9596431e-15,1,1,1
3.7068,859.11975,5.2305591e-10,48.20161,4.6656587e-15,1,1,1
3.7455,136.41693,8.3054407e-11,26.101556,7.4084531e-16,1,1,1
3.75565,64.275101,3.9132462e-11,20.310685,3.4906156e-16,1,1,1
3.7716,99.133476,6.0355207e-11,23.466614,5.3836844e-16,1,1,1
3.80465,182.97533,1.1140045e-10,28.785547,9.93692e-16,1,1,1
3.8486,140.13356,8.5317194e-11,26.336478,7.6102937e-16,1,1,1
3.87695,604.27795,3.6790116e-10,42.866948,3.2816783e-15,1,1,1
3.9014,69.416786,4.2262863e-11,20.838437,3.7698473e-16,1,1,1
3.9129,53.850086,3.2785424e-11,19.147222,2.9244599e-16,1,1,1
3.9269,145.83359,8.8787528e-11,26.688828,7.9198475e-16,1,1,1
3.93935,81.708466,4.9746378e-11,22.002194,4.4373769e-16,1,1,1
3.96895,91.275139,5.5570833e-11,22.829399,4.9569183e-16,1,1,1
3.98765,270.69208,1.6480484e-10,32.799621,1.4700591e-15,1,1,1
3.9946,88.133469,5.3658097e-11,22.564407,4.7863023e-16,1,1,1
3.99565,58.708424,3.5743315e-11,19.706543,3.1883037e-16,1,1,1
4.0197,80.133453,4.8787466e-11,21.859905,4.351842e-16,1,1,1
4.06295,72.708443,4.4266914e-11,21.162741,3.9486088e-16,1,1,1
4.12595,273.52542,1.6652985e-10,32.913662,1.4854463e-15,1,1,1
4.1778,97.416817,5.9310057e-11,23.33037,5.2904571e-16,1,1,1
