X value [cm⁻¹],IR Spectrum 18/O-PTIR (mV) [],IR Spectrum 17/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) [],IR Spectrum 15/O-PTIR (mV) [],IR Spectrum 14/O-PTIR (mV) [],IR Spectrum 13/O-PTIR (mV) [],IR Spectrum 12/O-PTIR (mV) [],IR Spectrum 11/O-PTIR (mV) [],IR Spectrum 10/O-PTIR (mV) []
1023,176.174377441406,216.887985229492,312.809387207031,294.969665527344,259.443969726563,187.377319335938,292.753814697266,118.496391296387,114.05158996582
1025,180.993835449219,220.19499206543,313.812591552734,294.826538085938,264.281372070313,189.600677490234,300.96435546875,128.502075195313,117.677932739258
1027,183.699676513672,225.947723388672,306.089935302734,291.923217773438,264.879241943359,192.04573059082,307.878356933594,131.611053466797,117.872680664063
1029,192.053771972656,234.425155639648,300.319183349609,301.449096679688,272.006286621094,192.429901123047,314.087524414063,141.667068481445,120.574684143066
1031,197.065063476563,243.286697387695,308.968078613281,304.685913085938,271.92822265625,196.665496826172,316.293334960938,153.364074707031,125.15616607666
1033,200.232681274414,245.154357910156,341.486114501953,299.210418701172,269.896484375,200.985824584961,323.207122802734,159.361099243164,123.516494750977
1035,204.247131347656,241.394332885742,391.160552978516,302.866973876953,272.672607421875,203.395751953125,325.976013183594,167.48291015625,123.537719726563
1037,207.165802001953,246.326629638672,474.509063720703,312.846343994141,269.275573730469,204.72785949707,322.385345458984,170.252426147461,125.218994140625
1039,207.133682250977,250.342071533203,549.852416992188,310.534118652344,268.519989013672,205.638290405273,323.211090087891,169.284851074219,124.340492248535
1041,205.758255004883,242.654678344727,530.592834472656,300.291198730469,266.786682128906,207.968139648438,326.348236083984,168.828216552734,122.331581115723
1043,209.218292236328,237.151306152344,431.850494384766,295.268615722656,265.021911621094,209.839050292969,320.832885742188,168.61994934082,119.753280639648
1045,209.083923339844,239.439788818359,339.765014648438,294.020385742188,267.213562011719,209.09228515625,315.491577148438,168.341644287109,117.813766479492
1047,203.196594238281,234.695983886719,440.754180908203,285.168762207031,262.006072998047,208.565124511719,311.39453125,160.185195922852,117.389907836914
1049,203.091430664063,222.252212524414,480.121215820313,267.135437011719,267.497802734375,209.712646484375,297.377807617188,152.949417114258,110.755882263184
1051,198.791656494141,216.662841796875,465.739135742188,252.887435913086,254.296249389648,208.357177734375,285.244171142578,145.95263671875,105.64128112793
1053,191.117691040039,213.433029174805,423.014129638672,241.91227722168,248.583801269531,204.003570556641,275.995269775391,137.709045410156,105.795387268066
1055,184.971282958984,210.522491455078,370.947631835938,222.529510498047,248.064743041992,201.6064453125,273.076812744141,128.799209594727,101.901702880859
1057,183.228332519531,203.365371704102,342.905151367188,212.199401855469,231.463821411133,200.536071777344,268.282379150391,123.74422454834,98.144889831543
1059,182.726196289063,208.941986083984,445.479888916016,206.128524780273,235.037094116211,201.114501953125,267.212158203125,122.427032470703,97.8753662109375
1061,183.955825805664,216.460632324219,561.8076171875,201.213577270508,223.221527099609,200.779724121094,274.783447265625,122.750061035156,96.5939559936523
1063,191.006805419922,215.636520385742,637.572265625,199.539703369141,220.513732910156,199.036056518555,270.817993164063,122.823936462402,97.9419937133789
1065,196.764633178711,224.030090332031,590.741577148438,205.0693359375,222.024398803711,201.088958740234,273.348175048828,121.987983703613,97.324592590332
1067,202.576400756836,234.751159667969,521.415832519531,216.743865966797,229.264739990234,203.512283325195,282.834075927734,122.701446533203,92.0876998901367
1069,209.702545166016,242.776031494141,795.571594238281,225.734283447266,221.630279541016,204.151397705078,289.99609375,123.817573547363,94.1744689941406
1071,215.368881225586,251.061309814453,927.048522949219,229.214614868164,219.766494750977,205.014389038086,302.361358642578,126.925392150879,94.7332611083984
1073,220.477828979492,252.18017578125,874.611938476563,231.855453491211,229.712524414063,206.779815673828,304.625732421875,130.150375366211,90.9670104980469
1075,221.155944824219,256.875793457031,726.810607910156,239.355255126953,224.137771606445,208.058319091797,312.296630859375,125.103286743164,92.5272521972656
1077,224.459259033203,258.595458984375,543.250610351563,243.920028686523,217.609893798828,207.79704284668,319.042602539063,128.620544433594,92.8635482788086
1079,225.579940795898,257.559020996094,499.073852539063,236.69091796875,211.808471679688,207.913925170898,308.398956298828,130.364944458008,93.7010498046875
1081,222.178817749023,252.704376220703,572.724365234375,236.441650390625,203.558395385742,206.753158569336,303.704406738281,121.156639099121,93.4130477905273
1083,217.124710083008,243.293167114258,512.020629882813,232.295989990234,197.11653137207,202.927490234375,305.288757324219,120.789245605469,93.4375228881836
1085,212.415924072266,243.075408935547,450.185363769531,225.607818603516,189.709106445313,198.919525146484,300.497894287109,125.221237182617,91.6290588378906
1087,204.79997253418,239.580917358398,445.703002929688,214.269943237305,183.547058105469,194.202026367188,294.673309326172,118.508567810059,91.0118026733398
1089,199.759948730469,228.388381958008,422.563659667969,207.155059814453,174.194274902344,190.801254272461,290.101898193359,112.541809082031,91.7477264404297
1091,196.962371826172,227.296081542969,380.364013671875,199.361236572266,166.889129638672,189.106842041016,294.6201171875,116.136940002441,91.1635971069336
1093,192.165283203125,227.135833740234,338.161926269531,191.563064575195,163.034210205078,187.508697509766,295.376220703125,113.28125,96.0975341796875
1095,192.037719726563,222.934127807617,319.388519287109,184.727142333984,161.018188476563,185.538238525391,288.896087646484,110.599807739258,99.9304351806641
1097,183.618606567383,216.144744873047,303.186767578125,175.932586669922,152.829528808594,183.007583618164,290.866241455078,114.633018493652,95.5017623901367
1099,184.300628662109,212.043579101563,282.286254882813,170.596832275391,149.185699462891,182.346237182617,290.813537597656,114.629402160645,94.1839141845703
1101,191.483352661133,214.12646484375,277.081237792969,166.458923339844,149.518646240234,181.190628051758,286.329681396484,112.173667907715,98.1037139892578
1103,187.701156616211,210.537841796875,268.013305664063,159.260955810547,148.570068359375,179.984786987305,286.760681152344,113.38850402832,95.0173645019531
1105,190.203674316406,205.604187011719,253.710693359375,154.050735473633,143.992065429688,182.014190673828,289.420288085938,114.83324432373,94.6281814575195
1107,195.732223510742,203.673187255859,241.362457275391,148.967376708984,145.611511230469,182.278366088867,291.26318359375,115.296653747559,94.312744140625
1109,194.495864868164,204.154586791992,231.483245849609,144.744812011719,151.453704833984,182.241775512695,291.668029785156,113.449104309082,96.5955352783203
1111,193.712219238281,201.433975219727,227.920059204102,138.607849121094,151.296600341797,183.397689819336,288.494476318359,115.275894165039,98.1423034667969
1113,191.454986572266,197.38200378418,225.825988769531,132.389785766602,151.894989013672,183.404083251953,286.885070800781,115.982879638672,95.8898696899414
1115,187.688537597656,195.237396240234,219.269668579102,130.939544677734,156.085372924805,183.768295288086,286.005340576172,110.699913024902,95.1567001342773
1117,185.158905029297,198.392211914063,212.883483886719,125.642227172852,159.935241699219,181.732299804688,280.699493408203,114.296821594238,97.2968978881836
1119,179.465744018555,194.585556030273,205.37744140625,119.680458068848,161.540618896484,181.115585327148,274.91943359375,114.889389038086,97.1953887939453
