X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],out 1/O-PTIR (mV) [],out2/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],out4/O-PTIR (mV) [],out5/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) []
1359,71.4442291259766,159.110366821289,25.1513080596924,50.4620475769043,16.4429626464844,12.9490308761597,67.3987808227539,103.340744018555,2.55760431289673
1361,73.078369140625,160.438583374023,23.9945583343506,49.0244102478027,17.7223529815674,13.4800329208374,67.8160858154297,105.132507324219,2.66686248779297
1363,74.4665451049805,159.568267822266,23.6804656982422,46.5900650024414,18.4105644226074,12.9467458724976,69.7162704467773,106.01774597168,2.80087113380432
1365,75.3734664916992,160.711212158203,24.8450050354004,49.5659332275391,17.5283260345459,13.6179323196411,71.8072662353516,104.446708679199,2.64585494995117
1367,75.9081420898438,161.454895019531,25.3265438079834,49.0174865722656,17.5049858093262,13.4623327255249,72.277214050293,103.323593139648,3.04452896118164
1369,77.0510482788086,164.02685546875,25.5058631896973,46.8563575744629,17.809211730957,13.2403717041016,71.9006805419922,103.558815002441,3.49878191947937
1371,78.6278533935547,168.268325805664,25.1836433410645,47.7821960449219,17.4935684204102,13.5600757598877,72.8941421508789,104.104057312012,3.78983807563782
1373,79.1184692382813,171.55012512207,24.9210681915283,43.9900665283203,18.5847034454346,12.8114728927612,76.5510101318359,105.959465026855,4.89659833908081
1375,79.2639007568359,178.142135620117,23.3408432006836,43.8148345947266,18.68044090271,13.7294111251831,78.4879608154297,107.279525756836,5.26485824584961
1377,81.7019119262695,182.046661376953,22.7881278991699,48.7325172424316,18.8521785736084,14.5239667892456,80.5883712768555,107.049186706543,5.04298686981201
1379,84.4602890014648,187.197570800781,22.4683647155762,50.9950256347656,18.7383785247803,14.6954383850098,79.486442565918,107.819686889648,4.51627349853516
1381,85.5186309814453,191.85871887207,20.9486045837402,54.0146751403809,19.041187286377,15.8531112670898,79.7220306396484,107.678001403809,4.21350717544556
1383,86.8253860473633,193.471832275391,20.3293933868408,56.1201210021973,19.8466548919678,15.8438663482666,80.918586730957,108.806503295898,4.12374687194824
1385,87.2800521850586,195.795700073242,18.9288196563721,52.4523887634277,20.4103145599365,15.4474897384644,79.9020309448242,109.00439453125,4.5732274055481
1387,88.6794052124023,198.591751098633,16.6420516967773,49.6759414672852,21.2587089538574,14.4435005187988,84.4005126953125,108.773544311523,5.95873498916626
